Name,Risk
 MARRIOT MARQUIS CHICAGO   ,Risk 1 (High)
 JETS PIZZA ,Risk 2 (Medium)
   ROOM 1520 ,Risk 3 (Low)
  MARRIOT MARQUIS CHICAGO  ,Risk 1 (High)
 CHARTWELLS   ,Risk 1 (High)
   SHRIMP'S FISH CHICKEN   ,Risk 2 (Medium)
   ART'S DRIVE INN  ,Risk 1 (High)
   VINCENT   ,Risk 1 (High)
 CAPTAIN HOOKS OF DAN RYAN   ,Risk 2 (Medium)
  JIBARITO'S Y MAS ,Risk 1 (High)
 HAROLDS CHICKEN WEST LOOP 47 ,Risk 2 (Medium)
  THE ART OF CHICKEN  ,Risk 1 (High)
 PHO 777 RESTAURANT ,Risk 1 (High)
  CARNICERIA RUIZ INC   ,Risk 1 (High)
   CHICAGO KALBI INC ,Risk 1 (High)
   FULL SHILLING   ,Risk 1 (High)
  SUBWAY  ,Risk 1 (High)
   JEFFERY BIG MARKET INC. ,Risk 2 (Medium)
 KATHERINE  ANNE  CONFECTIONS   ,Risk 1 (High)
   NANCY'S HOME OF STUFFED PIZZA  ,Risk 1 (High)
   MI TIENDITA QUICK MART   ,Risk 3 (Low)
  KAMAYAN EXPRESS ,Risk 1 (High)
 CHARLIES  SUPERMARKET INC.  ,Risk 1 (High)
   MARY CRANE LEAGUE   ,Risk 1 (High)
  SIAM COUNTRY ,Risk 1 (High)
 MR. HOT ONE INC. ,Risk 2 (Medium)
  NATURE FOUNTAIN HEALTH   ,Risk 2 (Medium)
"  NARY'S GRILL & PIZZA ,INC.   ",Risk 1 (High)
  BRASERITOS RESTAURANT INC. ,Risk 1 (High)
 NARYS GRILL & PIZZA  ,Risk 1 (High)
 NANDO'S PERI-PERI  ,Risk 3 (Low)
   ONE STOP FOOD MARKET   ,Risk 2 (Medium)
   JIBARITO'S Y MAS ,Risk 1 (High)
   NANDO'S PERI-PERI  ,Risk 1 (High)
   JUICE HOUSE ,Risk 2 (Medium)
  ORANGE ON ROSCOE ,Risk 1 (High)
   FAIRPLAY FOODS  ,Risk 1 (High)
 STOP & SHOP  ,Risk 2 (Medium)
 THE PARTY ROOM  ,Risk 1 (High)
  THE CHOPPING BLOCK  ,Risk 1 (High)
 DUNKIN DONUTS  ,Risk 2 (Medium)
 JJ FISH & GROCERY INC. ,Risk 2 (Medium)
 MANNY'S TACOS & BURRITOS  ,Risk 1 (High)
   BRASIL LEGAL  ,Risk 1 (High)
 FONDA DONA CHIO  ,Risk 1 (High)
 RIQUES COCINA MEXICANA ,Risk 1 (High)
 REDHOT RANCH   ,Risk 2 (Medium)
   HANDCUT FOODS ,Risk 1 (High)
   BENIHANA  ,Risk 1 (High)
   OLAF'S CHILD DAYCARE CENTER INC. ,Risk 1 (High)
  JA GRILL HYDE PARK   ,Risk 1 (High)
  MI TIENDITA QUICK MART   ,Risk 3 (Low)
  THE PRESS ROOM  ,Risk 3 (Low)
   COFFEE JOINT   ,Risk 2 (Medium)
   THE PRESS ROOM  ,Risk 1 (High)
  CHOPSTICK EXPRESS ,Risk 1 (High)
   THE BBQ ZONE   ,Risk 1 (High)
  PREMIER CATERING & EVENTS  ,Risk 1 (High)
   LA HACIENDITA TAQUERIA INC ,Risk 1 (High)
 MARRIOT MARQUIS CHICAGO   ,Risk 1 (High)
   MARRIOT MARQUIS CHICAGO   ,Risk 1 (High)
  LOS PRIMOS GROCERY   ,Risk 1 (High)
 Starbuck's Coffee #27509  ,Risk 2 (Medium)
  EL CABALLO LOCCO  ,Risk 1 (High)
  HEMA'S KITCHEN ,Risk 1 (High)
   NEW LOVE TERIYAKI  ,Risk 1 (High)
  XUAN TEA  ,Risk 2 (Medium)
 MARRIOT MARQUIS CHICAGO   ,Risk 1 (High)
 COLUTAS PIZZA   ,Risk 1 (High)
   TACOS NIETOS  ,Risk 1 (High)
   LA MICHOACANA THE GREEN PARTY INC.  ,Risk 1 (High)
   TAMAZULA  GROCERY INC.   ,Risk 1 (High)
   LA HORA DEL CHIVO ,Risk 1 (High)
   LA CEBOLLITA RESTAURANT ,Risk 1 (High)
" JIMENEZ  RESTAURANT, INC.   ",Risk 1 (High)
   PREMIER CATERING & EVENTS   ,Risk 1 (High)
   Savanna Restaurant ,Risk 1 (High)
" SABORES DE AMERICA, KATAKANA KOKO MEXICAN GRILL ",Risk 1 (High)
 TAQUERIA GUERRERO   ,Risk 1 (High)
  LE PARIS BAKERY  ,Risk 1 (High)
   MCDONALDS  #29307   ,Risk 2 (Medium)
  GEORGE'S CARRYOUTS  ,Risk 1 (High)
 GABY'S PANADERIA Y PIZZERIA  ,Risk 1 (High)
  GROUNDSWELL COFFEE ROASTERS   ,Risk 1 (High)
  CHICAGO'S COMMUNITY KITCHENS  ,Risk 1 (High)
   CHURROS XOCHI ,Risk 2 (Medium)
" ZAKOM FOOD MART, INC   ",Risk 3 (Low)
  THE ATLANTIC BAR & GRILL ,Risk 1 (High)
  AASJM INC.  ,Risk 3 (Low)
  FAT CHRIS'S PIZZA AND SUCH  ,Risk 1 (High)
  GIANT ,Risk 1 (High)
   LONE STAR BBQ BAR   ,Risk 1 (High)
 JET'S PIZZA   ,Risk 2 (Medium)
   MANNY'S TACOS & BURRITOS  ,Risk 1 (High)
  PUB 97 ,Risk 1 (High)
   DIPPIN' DOTS ICE CREAM  ,Risk 2 (Medium)
   ARMITAGE PRODUCE INC ,Risk 1 (High)
" POSITANOS RESTAURANT & PIZZA, INC.   ",Risk 1 (High)
   FRENTE AL SOL   ,Risk 1 (High)
  EL CHILE RESTAURANT & PANCAKE HOUSE ,Risk 1 (High)
   SEMIRAMIS RESTAURANT  ,Risk 1 (High)
  LA TRUCHA ARCOIRIS   ,Risk 1 (High)
 HOME RUN INN  ,Risk 2 (Medium)
   FIZZ  ,Risk 1 (High)
 SMOK'N BUNZ ,Risk 2 (Medium)
  RESTAURANT PUEBLA  ,Risk 1 (High)
  THE BALLPARK PUB   ,Risk 1 (High)
  RIVIERA FOODS  ,Risk 1 (High)
  LIBERO CAFE ,Risk 1 (High)
   RUBY'S SOULFOOD   ,Risk 1 (High)
 ARAMARK AT DELOITTE ,Risk 1 (High)
 PARTS AND LABOR   ,Risk 1 (High)
  IRVING PARK INFANT TODDLER CENTER ,Risk 1 (High)
"  WENDY'S PROPERTIES, LLC  ",Risk 1 (High)
   ENGLEWOOD MARKET ,Risk 2 (Medium)
  LUGANOS PIZZA  ,Risk 1 (High)
  MINGHIN CUISINE KITCHEN   ,Risk 1 (High)
 CHARTWELLS  ,Risk 1 (High)
 LAWRENE FISH MARKET   ,Risk 1 (High)
 CLUB LA  VILLTA ,Risk 2 (Medium)
 SUPER SAVE ,Risk 2 (Medium)
   DONA MARIA ,Risk 1 (High)
   BIRRIERIA DE LA TORRE MEXICAN RESTAURANT  ,Risk 1 (High)
   SALSA AND CHIPS   ,Risk 1 (High)
   POPEYES ,Risk 1 (High)
 BIRRIERIA DE LA TORRE  ,Risk 1 (High)
   SPACCANAPOLI ,Risk 1 (High)
   BLACK DOG GELATO   ,Risk 3 (Low)
   ETO'O   ,Risk 1 (High)
 SILOM12   ,Risk 1 (High)
 HOT WING JOINT  ,Risk 1 (High)
" NEW BANPOJUNG, INC. ",Risk 1 (High)
   LEONA'S RESTAURANT ,Risk 1 (High)
  EL TACO SABROSO #1 INC  ,Risk 1 (High)
  THE LITE  ,Risk 1 (High)
   PARKVIEW FOOD & LIQUOR ,Risk 3 (Low)
   PARKVIEW FOOD & LIQUOR  ,Risk 3 (Low)
   TAQUERIA LOS COMALES # 12   ,Risk 1 (High)
 MCDONALD'S  ,Risk 2 (Medium)
   LE PITA FRESH  ,Risk 1 (High)
  BACON & JAM   ,Risk 1 (High)
  MAI TAI  ,Risk 1 (High)
 ROTI MODERN MEDITERRANEAN ,Risk 1 (High)
  TAQUERIA CHIMINO   ,Risk 1 (High)
  LA MICHOACANA THE GREEN PARTY INC. ,Risk 1 (High)
  LA CHAPARRITA DE CHICAGO #2   ,Risk 1 (High)
  CICS WRIGHTWOOD CAMPUS   ,Risk 1 (High)
   MEDITERRANEAN EXPRESS   ,Risk 2 (Medium)
   THREE CHEFS RESTURANT ,Risk 1 (High)
 THE PRESS ROOM ,Risk 3 (Low)
  CHARTWELLS   ,Risk 1 (High)
   VILLAGE FOOD MARKET INC.  ,Risk 1 (High)
  THE PRESS ROOM  ,Risk 1 (High)
  HELLAS GYROS INC ,Risk 1 (High)
   DAVE'S FOOD MART ,Risk 1 (High)
 LITTLE SPROUTS DAYCARE INCORPORATED   ,Risk 1 (High)
"   BEST START/ERA THOMPSON, INC.  ",Risk 1 (High)
 COUNTRY FOOD  ,Risk 3 (Low)
  ROSE FOOD MART   ,Risk 3 (Low)
"  LIDO, INC.  ",Risk 1 (High)
 CAFE CHIEN   ,Risk 2 (Medium)
 CHARTWELLS  ,All
 KYOTO BLACK   ,Risk 3 (Low)
  PALERMO'S RESTAURANT  ,Risk 1 (High)
  LITTLE CLOWN PIZZA & RESTAURANT  ,Risk 1 (High)
  INDO-PAK GRILL   ,Risk 1 (High)
   GORILLA SUSHI  ,Risk 1 (High)
 EL GALLO MEXICAN FOOD INC. ,Risk 1 (High)
  DA LOBSTA RIVER NORTH  ,Risk 3 (Low)
  HALF ACRE BEER COMPANY   ,Risk 1 (High)
" PALETERIA Y NEVERIA FRUTA LOCA,INC  ",Risk 1 (High)
   SHARKS FISH TONY STEAK  ,Risk 2 (Medium)
   VMM SOCIAL ROOM ,Risk 3 (Low)
  JEWEL FOOD STORE #3470 ,Risk 1 (High)
 FLAMING WOK & GRILL   ,Risk 1 (High)
   PALETERIA OSO POLAR II  ,Risk 3 (Low)
  HALF ITALIAN ,Risk 1 (High)
  PALETERIA OSO POLAR II   ,Risk 3 (Low)
  TAQUERIA OCHOA'S #2 ,Risk 1 (High)
  HALF ACRE BEER COMPANY  ,Risk 1 (High)
   CHICAGO KALBI INC ,Risk 1 (High)
 CHARLOTTE'S BAR AND GRILL   ,Risk 1 (High)
 MARIANO'S #8522  ,Risk 1 (High)
 CHARTWELLS ,Risk 1 (High)
  DANNY'S EGGHEAD INC. ,Risk 1 (High)
