Manufacturer,Year,Fuel,Transmission,Price
Acura,2015,Electric,Automatic,31260
Jaguar,2010,Gas,Automatic,15181
Honda,2020,Electric,Automatic,39638
Chevrolet,2020,Diesel,Automatic,48583
Kia,2015,Hybrid,Automatic,14272
Ford,2016,Gas,Manual,4331
Toyota,2015,Gas,Automatic,19926
BMW,2016,Hybrid,Manual,49308
Audi,2011,Diesel,Automatic,32803
Nissan,2015,Diesel,Manual,4649
Acura,2011,Gas,Manual,19431
Jaguar,2010,Diesel,Automatic,34898
Honda,2016,Electric,Manual,42410
Chevrolet,2020,Gas,Automatic,31864
Kia,2011,Diesel,Automatic,45122
Ford,2018,Gas,Manual,40487
Toyota,2011,Hybrid,Automatic,26287
BMW,2010,Electric,Manual,24895
Audi,2012,Hybrid,Automatic,29468
Nissan,2010,Electric,Manual,27515
Acura,2012,Electric,Manual,29119
Jaguar,2018,Diesel,Manual,40256
Honda,2010,Diesel,Automatic,13654
Chevrolet,2018,Gas,Automatic,37019
Kia,2012,Gas,Manual,43895
Ford,2018,Electric,Automatic,5215
Toyota,2018,Gas,Manual,27665
BMW,2014,Hybrid,Automatic,4020
Audi,2010,Hybrid,Automatic,12803
Nissan,2020,Gas,Manual,47376
Acura,2014,Gas,Manual,31216
Jaguar,2014,Hybrid,Automatic,28324
Honda,2020,Gas,Automatic,18778
Chevrolet,2012,Gas,Manual,43199
Kia,2010,Diesel,Automatic,39190
Ford,2012,Diesel,Automatic,5093
Toyota,2014,Diesel,Automatic,38236
BMW,2018,Diesel,Manual,39315
Audi,2012,Diesel,Manual,7310
Nissan,2012,Hybrid,Manual,44201
Acura,2011,Diesel,Automatic,4914
Jaguar,2015,Diesel,Automatic,46417
Honda,2018,Electric,Manual,20921
Chevrolet,2020,Hybrid,Automatic,43738
Kia,2016,Diesel,Automatic,7298
Ford,2018,Gas,Manual,43497
Toyota,2012,Gas,Manual,21480
BMW,2014,Hybrid,Automatic,17699
Audi,2015,Electric,Automatic,13580
Nissan,2011,Electric,Manual,4348
